date,lineage,value,lower,upper
2020-12-12,B.1.617.2,0,0,86.35753131208055
2020-12-12,AY.4.2,0,0,86.35753131208055
2020-12-19,A,408.1641675684031,243.22228223014295,684.5553419897977
2020-12-19,B.1.1.529,0,0,111.93377597869842
2020-12-19,B.1.1.7,122361.78652032772,120151.8143475538,124538.45021903161
2020-12-19,B.1.177,51836.8492811872,49810.668058559495,53913.43444405698
2020-12-19,B.1.617.2,0,0,111.93377597869842
2020-12-19,AY.4.2,0,0,111.93377597869842
2020-12-26,A,891.0469128329298,521.0650429019571,1521.9645449718996
2020-12-26,B.1.1.529,0,0,263.0054174299035
2020-12-26,B.1.1.7,147502.53510895884,143784.7169868709,151140.75110712735
2020-12-26,B.1.177,63675.583232445526,60263.048756340475,67203.2223797381
2020-12-26,B.1.617.2,0,0,263.0054174299035
